"Date","Three Fund Portfolio","Inflation"
"1971-07-01",11118.35,10770.09
"1971-07-02",11165.13,10770.94
"1971-07-06",11187.1,10774.36
"1971-07-07",11214.15,10775.22
"1971-07-08",11244.91,10776.08
"1971-07-09",11292.72,10776.93
"1971-07-12",11329.56,10779.5
"1971-07-13",11237.24,10780.35
"1971-07-14",11236.51,10781.21
"1971-07-15",11234.48,10782.07
"1971-07-16",11233.12,10782.92
"1971-07-19",11203.36,10785.49
"1971-07-20",11219.81,10786.34
"1971-07-21",11214.67,10787.2
"1971-07-22",11187.5,10788.06
"1971-07-23",11155.01,10788.91
"1971-07-26",11118.75,10791.48
"1971-07-27",11055.93,10792.33
"1971-07-28",10984.21,10793.19
"1971-07-29",10919.38,10794.04
"1971-07-30",10895.2,10794.9
"1971-08-02",10942.72,10797.47
"1971-08-03",10807.7,10798.32
"1971-08-04",10763.06,10799.18
"1971-08-05",10807.23,10800.03
"1971-08-06",10801.34,10800.89
"1971-08-09",10753.46,10803.46
"1971-08-10",10756.09,10804.31
"1971-08-11",10840.61,10805.17
"1971-08-12",10953.87,10806.02
"1971-08-13",10959.61,10806.88
"1971-08-16",11263.8,10809.45
"1971-08-17",11339.08,10810.3
"1971-08-18",11221.57,10811.16
"1971-08-19",11170.99,10812.01
"1971-08-20",11174.13,10812.87
"1971-08-23",11230.58,10815.44
"1971-08-24",11310.71,10816.29
"1971-08-25",11299.53,10817.15
"1971-08-26",11286.67,10818
"1971-08-27",11304.38,10818.86
"1971-08-30",11243.84,10821.43
"1971-08-31",11215.79,10822.28
"1971-09-01",11226.82,10822.28
"1971-09-02",11259.72,10822.28
"1971-09-03",11380.61,10822.28
"1971-09-07",11434.93,10822.28
"1971-09-08",11466.01,10822.28
"1971-09-09",11422.05,10822.28
"1971-09-10",11361.87,10822.28
"1971-09-13",11325,10822.28
"1971-09-14",11247.95,10822.28
"1971-09-15",11269.71,10822.28
"1971-09-16",11274.89,10822.28
"1971-09-17",11304.61,10822.28
"1971-09-20",11266.07,10822.28
"1971-09-21",11223.18,10822.28
"1971-09-22",11152.25,10822.28
"1971-09-23",11142.5,10822.28
"1971-09-24",11162.81,10822.28
"1971-09-27",11130.75,10822.28
"1971-09-28",11163.22,10822.28
"1971-09-29",11163.31,10822.28
"1971-09-30",11221.99,10822.28
"1971-10-01",11285.76,10823.14
"1971-10-04",11321.67,10825.7
"1971-10-05",11308.25,10826.56
"1971-10-06",11363.18,10827.42
"1971-10-07",11393.51,10828.27
"1971-10-08",11332.1,10829.13
"1971-10-11",11306.33,10831.69
"1971-10-12",11333.77,10832.55
"1971-10-13",11299.36,10833.4
"1971-10-14",11222.66,10834.26
"1971-10-15",11208.73,10835.12
"1971-10-18",11175.99,10837.68
"1971-10-19",11158.05,10838.54
"1971-10-20",11053.63,10839.39
"1971-10-21",11045.78,10840.25
"1971-10-22",11009.77,10841.11
"1971-10-25",10956.52,10843.67
"1971-10-26",10918.25,10844.53
"1971-10-27",10834.28,10845.38
"1971-10-28",10842.56,10846.24
"1971-10-29",10894.41,10847.1
"1971-11-01",10808.65,10848.81
"1971-11-02",10826.35,10848.81
"1971-11-03",10972.56,10848.81
"1971-11-04",10962.6,10848.81
"1971-11-05",10932.74,10848.81
"1971-11-08",10916.94,10848.81
"1971-11-09",10938.45,10848.81
"1971-11-10",10861.95,10848.81
"1971-11-11",10780.72,10848.81
"1971-11-12",10786.82,10848.81
"1971-11-15",10771.95,10848.81
"1971-11-16",10850.52,10848.81
"1971-11-17",10828.04,10848.81
"1971-11-18",10778.42,10848.81
"1971-11-19",10742.51,10848.81
"1971-11-22",10669.18,10848.81
"1971-11-23",10586.79,10848.81
"1971-11-24",10597.72,10848.81
"1971-11-26",10716.94,10848.81
"1971-11-29",10847.31,10848.81
"1971-11-30",10917.04,10848.81
"1971-12-01",11038.85,10850.52
"1971-12-02",11052.97,10852.23
"1971-12-03",11162.19,10853.94
"1971-12-06",11133.86,10859.07
"1971-12-07",11186.22,10860.79
"1971-12-08",11154.56,10862.5
"1971-12-09",11193.61,10864.21
"1971-12-10",11278.39,10865.92
"1971-12-13",11324.77,10871.05
"1971-12-14",11269.06,10872.76
"1971-12-15",11344.44,10874.48
"1971-12-16",11459.1,10876.19
"1971-12-17",11492.12,10877.9
"1971-12-20",11596.75,10883.03
"1971-12-21",11612.77,10884.74
"1971-12-22",11552.31,10886.46
"1971-12-23",11540.6,10888.17
"1971-12-27",11593.62,10895.01
"1971-12-28",11747.74,10896.72
"1971-12-29",11789.84,10898.43
"1971-12-30",11791.01,10900.15
"1971-12-31",11845.48,10901.86
"1972-01-03",11788.46,10901.86
"1972-01-04",11845.04,10901.86
"1972-01-05",11959.51,10901.86
"1972-01-06",11980.01,10901.86
"1972-01-07",11997.45,10901.86
"1972-01-10",11998.42,10901.86
"1972-01-11",12058.25,10901.86
"1972-01-12",12020.61,10901.86
"1972-01-13",11986.68,10901.86
"1972-01-14",12032.57,10901.86
"1972-01-17",12079.01,10901.86
"1972-01-18",12109.55,10901.86
"1972-01-19",12074.74,10901.86
"1972-01-20",12091.07,10901.86
"1972-01-21",12044.67,10901.86
"1972-01-24",11951.64,10901.86
"1972-01-25",11953.21,10901.86
"1972-01-26",11956.71,10901.86
"1972-01-27",12083.43,10901.86
"1972-01-28",12164.81,10901.86
"1972-01-31",12197.15,10901.86
"1972-02-01",12214.24,10903.69
"1972-02-02",12304.77,10905.52
"1972-02-03",12260.08,10907.34
"1972-02-04",12310.65,10909.17
"1972-02-07",12296.86,10914.66
"1972-02-08",12297.51,10916.49
"1972-02-09",12365.54,10918.32
"1972-02-10",12349.29,10920.15
"1972-02-11",12343.91,10921.98
"1972-02-14",12292.5,10927.47
"1972-02-15",12348.87,10929.3
"1972-02-16",12381.73,10931.13
"1972-02-17",12361.18,10932.96
"1972-02-18",12349.14,10934.78
"1972-02-22",12412.98,10942.1
"1972-02-23",12399.62,10943.93
"1972-02-24",12449.2,10945.76
"1972-02-25",12557.79,10947.59
"1972-02-28",12589.45,10953.08
"1972-02-29",12609.13,10954.91
"1972-03-01",12687.56,10955.76
"1972-03-02",12703,10956.62
"1972-03-03",12749.43,10957.47
"1972-03-06",12851.08,10960.04
"1972-03-07",12830.36,10960.9
"1972-03-08",12833.28,10961.75
"1972-03-09",12812.52,10962.61
"1972-03-10",12718.83,10963.46
"1972-03-13",12611.93,10966.03
"1972-03-14",12614.32,10966.89
"1972-03-15",12647.55,10967.74
"1972-03-16",12664.64,10968.6
"1972-03-17",12719.76,10969.45
"1972-03-20",12683.82,10972.02
"1972-03-21",12602.28,10972.88
"1972-03-22",12623.33,10973.73
"1972-03-23",12713.59,10974.59
"1972-03-24",12664.67,10975.44
"1972-03-27",12665.89,10978.01
"1972-03-28",12634.15,10978.87
"1972-03-29",12574.35,10979.72
"1972-03-30",12692.16,10980.58
"1972-04-03",12756.77,10984.08
"1972-04-04",12834.13,10984.97
"1972-04-05",12955.7,10985.85
"1972-04-06",12997.16,10986.74
"1972-04-07",13020.9,10987.62
"1972-04-10",13040.38,10990.27
